title,authors_name,conference_name,published_year,school_institution,domain
"```json
{
    ""title"": ""Casino Royale: A Deep Exploration of Illegal Online Gambling""
}
```","```json
{
    ""authors"": ""Hao Yang, Kun Du, Yubao Zhang, Shuang Hao, Zhou Li, Mingxuan Liu, Haining Wang, Haixin Duan*, Yazhou Shi, Xiaodong Su, Guang Liu, Zhifeng Geng, Jianping Wu""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""Tsinghua University, University of Delaware, University of Texas at Dallas, University of California, Irvine, Virginia Tech, Beijing National Research Center for Information Science and Technology, Baidu Inc""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""SoK: The Challenges, Pitfalls, and Perils of Using Hardware Performance Counters for Security""
}","{
    ""authors"": ""Sanjeev Das, Jan Werner, Manos Antonakakis, Michalis Polychronakis, Fabian Monrose""
}","```json
{
    ""conference"": ""NDSS""
}
```","{
    ""year"": ""2018""
}","{
    ""school"": ""University of North Carolina at Chapel Hill, Georgia Institute of Technology, Stony Brook University""
}","```json
{
    ""research_domain"": ""malware analysis and detection""
}
```"
"{
    ""title"": ""CCCP: Closed Caption Crypto Phones to Resist MITM Attacks, Human Errors and Click-Through""
}","```json
{
    ""authors"": ""Maliheh Shirvanian, Nitesh Saxena""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""University of Alabama at Birmingham""
}
```","```json
{
    ""research_domain"": ""voip security""
}
```"
"{
    ""title"": ""CDL: Classified Distributed Learning for Detecting Security Attacks in Containerized Applications""
}","```json
{
    ""authors"": ""Yuhang Lin, Olufogorehan Tunde-Onadele, Xiaohui Gu""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""North Carolina State University""
}
```","```json
{
    ""research_domain"": ""container security""
}
```"
"```json
{
    ""title"": ""Censored Planet: An Internet-wide, Longitudinal Censorship Observatory""
}
```","```json
{
    ""authors"": ""Ram Sundara Raman, Prerana Shenoy, Katharina Kohls, Roya Ensafi""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""University of Michigan, Ruhr University Bochum""
}
```","```json
{
    ""research_domain"": ""technology and censorship""
}
```"
"{
    ""title"": ""Certificate Transparency in the Wild: Exploring the Reliability of Monitors""
}","```json
{
    ""authors"": ""Bingyu Li, Jingqiang Lin, Fengjun Li, Qiongxiao Wang, Qi Li, Jiwu Jing, Congli Wang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences, Data Assurance and Communication Security Center, Chinese Academy of Sciences, School of Cyber Security, University of Chinese Academy of Sciences, Department of Electrical Engineering and Computer Science, the University of Kansas, USA, Institute for Network Sciences and Cyberspace, Tsinghua University, China, School of Computer Science and Technology, University of Chinese Academy of Sciences""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Certified Copy? Understanding Security Risks of Wi-Fi Hotspot based Android Data Clone Services""
}","```json
{
    ""authors"": ""Siqi Ma, Hehao Li, Wenbo Yang, Juanru Li, Surya Nepal, Elisa Bertino""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""The University of Queensland, Shanghai Jiao Tong University, CSIRO, Purdue University""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Certiﬁed Robustness to Adversarial Examples with Differential Privacy""
}","{
    ""authors"": ""Mathias Lecuyer, Vaggelis Atlidakis, Roxana Geambasu, Daniel Hsu, Suman Jana""
}","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""Columbia University""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""Characterizing Pixel Tracking through the Lens of Disposable Email Services""
}","```json
{
    ""authors"": ""Hang Hu, Peng Peng, Gang Wang""
}
```","{
    ""conference"": ""NDSS""
}","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""Virginia Tech""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""AAPL: A Privacy Leak Detection System for Android Apps""
}","```json
{
    ""authors"": ""Wenke Lee, Kangjie Lu, Cong Zheng""
}
```","```json
{
    ""conference"": ""NDSS""
}
```","{
    ""year"": ""2014""
}","```json
{
    ""school"": ""Georgia Institute of Technology, University of California, Berkeley, University of Illinois at Urbana-Champaign""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""Cinderella: Turning Shabby X.509 Certiﬁcates into Elegant Anonymous Credentials with the Magic of Veriﬁable Computation""
}
```","```json
{
    ""authors"": ""Antoine Delignat-Lavaud, Cédric Fournet, Markulf Kohlweiss, Bryan Parno""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""Microsoft Research""
}
```","```json
{
    ""research_domain"": ""authentication mechanisms""
}
```"
"```json
{
    ""title"": ""ClickShield: Are You Hiding Something? Towards Eradicating Clickjacking on Android""
}
```","```json
{
    ""authors"": ""Andrea Possemato, Andrea Lanzi, Simon Pak Ho Chung, Wenke Lee, Yanick Fratantonio""
}
```","```json
{
    ""conference"": ""CCS""
}
```","{
    ""year"": ""2018""
}","```json
{
    ""school"": ""EURECOM, Universita’ degli Studi di Milano, Georgia Institute of Technology""
}
```","```json
{
    ""research_domain"": ""mobile browser security""
}
```"
"{
    ""title"": ""Cloak of Visibility: Detecting When Machines Browse A Different Web""
}","```json
{
    ""authors"": ""Luca Invernizzi, Kurt Thomas, Alexandros Kapravelos, Oxana Comanescu, Jean-Michel Picod, Elie Bursztein""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""Google, Inc., North Carolina State University""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""Clockwork Finance: Automated Analysis of Economic Security in Smart Contracts""
}","{
    ""authors"": ""Kushal Babel, Philip Daian, Mahimna Kelkar, Ari Juels""
}","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""school"": ""Cornell Tech""
}
```","```json
{
    ""research_domain"": ""blockchain and cryptographic security""
}
```"
"{
    ""title"": ""Collaborative Ad Transparency: Promises and Limitations""
}","{
    ""authors"": ""Eleni Gkiouzepi, Athanasios Andreou, Oana Gogaz, Patrick Loiseaux""
}","{
    ""conference"": ""SP""
}","{
    ""year"": ""2023""
}","```json
{
    ""school"": ""Technical University of Berlin, Algorithmic Transparency Institute, CNRS, Inria, Institut Polytechnique de Paris, FairPlay team""
}
```","```json
{
    ""research_domain"": ""adversarial social networking""
}
```"
"{
    ""title"": ""Combating Dependence Explosion in Forensic Analysis Using Alternative Tag Propagation Semantics""
}","```json
{
    ""authors"": ""Md Nahid Hossain, Sanaz Sheikhi, R. Sekar""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Stony Brook University""
}
```","```json
{
    ""research_domain"": ""advanced persistent threat detection""
}
```"
"{
    ""title"": ""Combining Differential Privacy and Secure Multiparty Computation""
}","```json
{
    ""authors"": ""Martin Pettai, Peeter Laud""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""school"": ""Cybernetica AS, ST ACC""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""Commoner Privacy And A Study On Network Traces""
}","```json
{
    ""authors"": ""Xiyue Deng, Jelena Mirkovic""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","{
    ""year"": ""2017""
}","```json
{
    ""school"": ""USC/ISI""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""Comparing the Usability of Cryptographic APIs""
}","```json
{
    ""authors"": ""Yasemin Acar, Michael Backes, Sascha Fahl, Simson Garﬁnkel, Doowon Kim, Michelle L. Mazurek, Christian Stransky""
}
```","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""CISPA, Saarland University, National Institute of Standards and Technology, University of Maryland, College Park""
}
```","```json
{
    ""research_domain"": ""cryptographic api misuse detection""
}
```"
"{
    ""title"": ""Comparing Video Based Shoulder Surfing with Live Simulation""
}","```json
{
    ""authors"": ""Adam J. Aviv, Flynn Wolf, Ravi Kuber""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","{
    ""year"": ""2018""
}","```json
{
    ""school"": ""United States Naval Academy, University of Maryland, Baltimore County""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""Compiler-assisted Code Randomization""
}","```json
{
    ""authors"": ""Hyungjoon Koo, Yaohui Chen, Long Lu, Vasileios P. Kemerlis, Michalis Polychronakis""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""Stony Brook University, Northeastern University, Brown University""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""Composite Backdoor Attack for Deep Neural Network by Mixing Existing Benign Features""
}","```json
{
    ""authors"": ""Junyu Lin, Lei Xu, Yingqi Liu, Xiangyu Zhang""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Nanjing University, Purdue University""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"```json
{
    ""title"": ""Comprehensive Privacy Analysis of Deep Learning: Passive and Active White-box Inference Attacks against Centralized and Federated Learning""
}
```","```json
{
    ""authors"": ""Milad Nasr, Reza Shokri, Amir Houmansadr""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""University of Massachusetts Amherst, National University of Singapore""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""Constrained Concealment Attacks against Reconstruction-based Anomaly Detectors in Industrial Control Systems""
}","{
    ""authors"": ""Alessandro Erba, Riccardo Taormina, Stefano Galelli, Marcello Pogliani, Michele Carminati, Stefano Zanero, Nils Ole Tippenhauer""
}","{
    ""conference"": ""ACSAC""
}","{
    ""year"": ""2020""
}","{
    ""school"": ""CISPA Helmholtz Center for Information Security, Delft University of Technology, Singapore University of Technology and Design, Politecnico di Milano, Saarland University""
}","```json
{
    ""research_domain"": ""industrial control systems security""
}
```"
"{
    ""title"": ""Continual Observation under User-level Differential Privacy""
}","{
    ""authors"": ""Wei Dong, Qiyao Luo, Ke Yi""
}","```json
{
    ""conference"": ""SP""
}
```","{
    ""year"": ""2023""
}","```json
{
    ""school"": ""Hong Kong University of Science and Technology""
}
```","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"```json
{
    ""title"": ""Continuous Intrusion: Characterizing the Security of Continuous Integration Services""
}
```","```json
{
    ""authors"": ""Yacong Gu, Lingyun Ying, Huajun Chai, Chu Qiao, Haixin Duan, Xing Gao""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2023""
}
```","{
    ""school"": ""QI-ANXIN Technology Research Institute, University of Delaware, Tsinghua University, Tsinghua University-QI-ANXIN Group JCNS""
}","```json
{
    ""research_domain"": ""cloud security""
}
```"
"{
    ""title"": ""Control Flow and Code Integrity for COTS binaries: An Eﬀective Defense Against Real-World ROP Attacks""
}","```json
{
    ""authors"": ""Mingwei Zhang, R. Sekar""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2015""
}
```","```json
{
    ""school"": ""Privacy and Intelligence Lab, Intel Labs, Stony Brook University""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""Control Flow and Pointer Integrity Enforcement in a Secure Tagged Architecture""
}","{
    ""authors"": ""Ravi Theja Gollapudi, Gokturk Yuksek, David Demicco, Matthew Cole, Gaurav Kothari, Rohit Kulkarni, Xin Zhang, Kanad Ghose, Aravind Prakash, Zerksis Umrigar""
}","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""school"": ""State University of New York at Binghamton""
}
```","```json
{
    ""research_domain"": ""embedded systems security""
}
```"
"```json
{
    ""title"": ""Coordinated Dataflow Protection for Ultra-High Bandwidth Science Networks""
}
```","```json
{
    ""authors"": ""Vasudevan Nagendra, Vinod Yegneswaran, Phillip Porras, Samir R Das""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""Stony Brook University, SRI International""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""Counter-RAPTOR: Safeguarding Tor Against Active Routing Attacks""
}
```","```json
{
    ""authors"": ""Yixin Sun, Anne Edmundson, Nick Feamster, Mung Chiang, Prateek Mittal""
}
```","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""Princeton University""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Covert Channels through Random Number Generator: Mechanisms, Capacity Estimation and Mitigations""
}","```json
{
    ""authors"": ""Dmitry Evtyushkin, Dmitry Ponomarev""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""SUNY Binghamton""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"```json
{
    ""title"": ""Cracking App Isolation on Apple: Unauthorized Cross-App Resource Access on MAC OS X and iOS""
}
```","```json
{
    ""authors"": ""Luyi Xing, Xiaolong Bai, Tongxin Li, XiaoFeng Wang, Kai Chen, Xiaojing Liao, Shi-Min Hu, Xinhui Han""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2015""
}
```","{
    ""school"": ""Indiana University Bloomington, Tsinghua University, Peking University, Georgia Institute of Technology, Institute of Information Engineering, Chinese Academy of Sciences""
}","```json
{
    ""research_domain"": ""mobile browser security""
}
```"
"{
    ""title"": ""CrawlPhish: Large-scale Analysis of Client-side Cloaking Techniques in Phishing""
}","{
    ""authors"": ""Penghui Zhang, Adam Oesty, Haehyun Cho, Zhibo Sun, RC Johnson, Brad Wardman, Shaown Sarker, Alexandros Kapravelos, Tiffany Bao, Ruoyu Wang, Yan Shoshitaishvili, Adam Doupé, Gail-Joon Ahn""
}","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2021""
}
```","{
    ""school"": ""Arizona State University, PayPal, Inc., North Carolina State University, Samsung Research""
}","```json
{
    ""research_domain"": ""web application security""
}
```"
"{
    ""title"": ""CREDAL: Towards Locating a Memory Corruption Vulnerability with Your Core Dump""
}","{
    ""authors"": ""Jun Xuy, Dongliang Muzy, Ping Cheny, Xinyu Xingy, Pei Wangy, Peng Liuy""
}","{
    ""conference"": ""CCS""
}","{
    ""year"": ""2016""
}","```json
{
    ""school"": ""The Pennsylvania State University, Nanjing University""
}
```","```json
{
    ""research_domain"": ""memory corruption vulnerability analysis""
}
```"
"```json
{
    ""title"": ""CRLite: A Scalable System for Pushing All TLS Revocations to All Browsers""
}
```","```json
{
    ""authors"": ""James Larisch, David Choffnes, Dave Levin, Bruce M. Maggs, Alan Mislove, Christo Wilson""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""Northeastern University, University of Maryland, Duke University, Akamai Technologies""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Cross-App Poisoning in Software-Defined Networking""
}","```json
{
    ""authors"": ""Benjamin E. Ujcich, Samuel Jero, Anne Edmundson, Qi Wang, Richard Skowyra, James Landry, Adam Bates, William H. Sanders, Cristina Nita-Rotaru, Hamed Okhravi""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""University of Illinois at Urbana-Champaign, MIT Lincoln Laboratory, Princeton University, Northeastern University""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""Crowd-GPS-Sec : Leveraging Crowdsourcing to Detect and Localize GPS Spooﬁng Attacks""
}","```json
{
    ""authors"": ""Kai Jansen, Matthias Schäfer, Daniel Moser, Vincent Lenders, Christina Pöpper, Jens Schmitt""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""Ruhr-University Bochum, University of Kaiserslautern, ETH Zurich, armasuisse, New York University Abu Dhabi""
}
```","```json
{
    ""research_domain"": ""iot security""
}
```"
"{
    ""title"": ""CRYP TF LOW : Secure TensorFlow Inference""
}","```json
{
    ""authors"": ""Nishant Kumar, Divya Gupta, Mayank Rathee, Aseem Rastogi, Nishanth Chandran, Rahul Sharma""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Microsoft Research""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""CRYPT GPU: Fast Privacy-Preserving Machine Learning on the GPU""
}","```json
{
    ""authors"": ""Sijun Tan, Brian Knotty, Yuan Tian, David J. Wu""
}
```","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2021""
}
```","```json
{
    ""school"": ""University of Virginia, Facebook AI Research""
}
```","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"{
    ""title"": ""Cryptographic Function Detection in Obfuscated Binaries via Bit-precise Symbolic Loop Mapping""
}","```json
{
    ""authors"": ""Dongpeng Xu, Jiang Ming, Dinghao Wu""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""The Pennsylvania State University, University of Texas at Arlington""
}
```","```json
{
    ""research_domain"": ""cryptographic api misuse detection""
}
```"
"{
    ""title"": ""D-ARM: Disassembling ARM Binaries by Lightweight Superset Instruction Interpretation and Graph Modeling""
}","{
    ""authors"": ""Yapeng Ye, Zhuo Zhang, Qingkai Shi, Yousra Aafer, Xiangyu Zhang""
}","{
    ""conference"": ""SP""
}","{
    ""year"": ""2023""
}","{
    ""school"": ""Purdue University, University of Waterloo""
}","```json
{
    ""research_domain"": ""embedded systems security""
}
```"
"{
    ""title"": ""D-DAE: Defense-Penetrating Model Extraction Attacks""
}","{
    ""authors"": ""Yanjiao Chen, Rui Guan, Xueluan Gong, Jianshuo Dong, Meng Xue""
}","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""school"": ""School of Computer Science, Wuhan University, China, School of Mathematics and Statistics, Wuhan University, China, School of Cyber Science and Engineering, Wuhan University, China""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"```json
{
    ""title"": ""D2NN: A Fine-Grained Dual Modular Redundancy Framework for Deep Neural Networks""
}
```","```json
{
    ""authors"": ""Yu Li, Yannan Liu, Min Li, Ye Tian, Bo Luo, Qiang Xu""
}
```","```json
{
    ""conference"": ""ACSAC""
}
```","{
    ""year"": ""2019""
}","```json
{
    ""school"": ""The Chinese University of Hong Kong, Sangfor Technologies Inc.""
}
```","```json
{
    ""research_domain"": ""deep learning for cybersecurity""
}
```"
"{
    ""title"": ""Dark Hazard: Learning-based, Large-scale Discovery of Hidden Sensitive Operations in Android Apps""
}","{
    ""authors"": ""Xiaorui Pan, Xueqiang Wang, Yue Duan, XiaoFeng Wang, Heng Yin""
}","```json
{
    ""conference"": ""NDSS""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""Indiana University Bloomington, University of California, Riverside""
}
```","```json
{
    ""research_domain"": ""mobile browser security""
}
```"
"```json
{
    ""title"": ""Data Breaches, Phishing, or Malware? Understanding the Risks of Stolen Credentials""
}
```","```json
{
    ""authors"": ""Kurt Thomas, Frank Li, Ali Zand, Jacob Barrett, Juri Ranieri, Luca Invernizzi, Yarik Markov, Oxana Comanescu, Vijay Eranti, Angelika Moscicki, Daniel Margolis, Vern Paxson, Elie Bursztein""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""Google, University of California, Berkeley, International Computer Science Institute""
}
```","```json
{
    ""research_domain"": ""information security""
}
```"
"{
    ""title"": ""Data Recovery on Encrypted Databases With k-Nearest Neighbor Query Leakage""
}","```json
{
    ""authors"": ""Evgenios M. Kornaropoulos, Charalampos Papamanthou, Roberto Tamassia""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","{
    ""school"": ""Brown University, University of Maryland""
}","```json
{
    ""research_domain"": ""privacy-preserving computation""
}
```"
"```json
{
    ""title"": ""Data-Oriented Programming: On the Expressiveness of Non-Control Data Attacks""
}
```","```json
{
    ""authors"": ""Hong Hu, Shweta Shinde, Sendroiu Adrian, Zheng Leong Chua, Prateek Saxena, Zhenkai Liang""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""National University of Singapore""
}
```","```json
{
    ""research_domain"": ""malware analysis and detection""
}
```"
"{
    ""title"": ""Data Privacy in Trigger-Action Systems""
}","{
    ""authors"": ""Yunang Chen, Amrita Roy Chowdhury, Ruizhe Wang, Andrei Sabelfeld, Rahul Chatterjee, Earlence Fernandes""
}","```json
{
    ""conference"": ""SP""
}
```","{
    ""year"": ""2021""
}","{
    ""school"": ""University of Wisconsin–Madison, Chalmers University of Technology""
}","```json
{
    ""research_domain"": ""privacy preserving computation""
}
```"
"{
    ""title"": ""DBREACH: Stealing from Databases Using Compression Side Channels""
}","```json
{
    ""authors"": ""Mathew Hogan, Yan Michalevsky, Saba Eskandarian""
}
```","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2023""
}
```","```json
{
    ""school"": ""Stanford University, Anjuna Security, Inc., Cryptosat, Inc., UNC Chapel Hill""
}
```","```json
{
    ""research_domain"": ""database security""
}
```"
"{
    ""title"": ""Debin: Predicting Debug Information in Stripped Binaries""
}","{
    ""authors"": ""Jingxuan He, Pesho Ivanov, Petar Tsankov, Veselin Raychev, Martin Vechev""
}","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""ETH Zurich, DeepCode AG""
}
```","```json
{
    ""research_domain"": ""machine learning for cybersecurity""
}
```"
"{
    ""title"": ""DECANTeR: DEteCtion of Anomalous outbouNd HTTP TRaffic by Passive Application Fingerprinting""
}","```json
{
    ""authors"": ""Riccardo Bortolameotti, Thijs van Ede, Marco Caselli, Maarten H. Everts, Pieter Hartel, Rick Hofstede, Willem Jonker, Andreas Peter""
}
```","{
    ""conference"": ""ACSAC""
}","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""University of Twente, Siemens AG, TNO, Delft University of Technology, RedSocks Security B.V.""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""DECO: Liberating Web Data Using Decentralized Oracles for TLS""
}
```","```json
{
    ""authors"": ""Fan Zhang, Deepak Maram, Harjasleen Malvai, Steven Goldfeder, Ari Juels""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""Cornell Tech, Cornell University""
}
```","```json
{
    ""research_domain"": ""web application security""
}
```"
"```json
{
    ""title"": ""Dedup Est Machina: Memory Deduplication as an Advanced Exploitation Vector""
}
```","```json
{
    ""authors"": ""Erik Bosman, Kaveh Razavi, Herbert Bos, Cristiano Giuffrida""
}
```","{
    ""conference"": ""SP""
}","```json
{
    ""year"": ""2016""
}
```","```json
{
    ""school"": ""Vrije Universiteit Amsterdam""
}
```","```json
{
    ""research_domain"": ""memory deduplication attacks""
}
```"
"{
    ""title"": ""DEEPCASE: Semi-Supervised Contextual Analysis of Security Events""
}","{
    ""authors"": ""Thijs van Ede, Hojjat Aghakhani, Noah Spahny, Riccardo Bortolameotti, Marco Cova, Andrea Continella, Maarten van Steen, Andreas Peter, Christopher Kruegel, Giovanni Vigna""
}","{
    ""conference"": ""SP""
}","{
    ""year"": ""2022""
}","```json
{
    ""school"": ""University of Twente, University of California, Santa Barbara, ReaQta, VMware, Inc.""
}
```","```json
{
    ""research_domain"": ""network intrusion detection systems""
}
```"
"{
    ""title"": ""DeepCoFFEA: Improved Flow Correlation Attacks on Tor via Metric Learning and Ampliﬁcation""
}","```json
{
    ""authors"": ""Se Eun Oh, Taiji Yang, Nate Mathews, James K Holland, Mohammad Saidur Rahman, Nicholas Hopper, Matthew Wright""
}
```","```json
{
    ""conference"": ""SP""
}
```","```json
{
    ""year"": ""2022""
}
```","```json
{
    ""school"": ""Ewha Womans University, University of Minnesota, Rochester Institute of Technology""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"{
    ""title"": ""DeepCorr: Strong Flow Correlation Attacks on Tor, Using Deep Learning""
}","{
    ""authors"": ""Milad Nasr, Alireza Bahramali, Amir Houmansadr""
}","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""University of Massachusetts Amherst""
}
```","```json
{
    ""research_domain"": ""network security""
}
```"
"```json
{
    ""title"": ""DeepDyve: Dynamic Verification for Deep Neural Networks""
}
```","{
    ""authors"": ""Yu Li, Min Li, Bo Luo, Ye Tian, Qiang Xu""
}","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2020""
}
```","```json
{
    ""school"": ""The Chinese University of Hong Kong""
}
```","```json
{
    ""research_domain"": ""adversarial machine learning""
}
```"
"{
    ""title"": ""DeepIntent: Deep Icon-Behavior Learning for Detecting Intention-Behavior Discrepancy in Mobile Apps""
}","```json
{
    ""authors"": ""Shengqu Xi, Shao Yang, Xusheng Xiao, Yuan Yao, Yayuan Xiong, Fengyuan Xu, Haoyu Wang, Peng Gao, Zhuotao Liu, Feng Xu, Jian Lu""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2019""
}
```","```json
{
    ""school"": ""State Key Lab for Novel Software Technology, Nanjing University, Case Western Reserve University, Beijing University of Posts and Telecommunications, University of California, Berkeley, University of Illinois at Urbana-Champaign""
}
```","```json
{
    ""research_domain"": ""mobile browser security""
}
```"
"```json
{
    ""title"": ""DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning""
}
```","```json
{
    ""authors"": ""Min Du, Feifei Li, Guineng Zheng, Vivek Srikumar""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2017""
}
```","```json
{
    ""school"": ""School of Computing, University of Utah""
}
```","```json
{
    ""research_domain"": ""machine learning for cybersecurity""
}
```"
"{
    ""title"": ""DeepMem: Learning Graph Neural Network Models for Fast and Robust Memory Forensic Analysis""
}","```json
{
    ""authors"": ""Wei Song, Heng Yin, Chang Liu, Dawn Song""
}
```","```json
{
    ""conference"": ""CCS""
}
```","```json
{
    ""year"": ""2018""
}
```","```json
{
    ""school"": ""University of California, Riverside, University of California, Berkeley""
}
```","```json
{
    ""research_domain"": ""machine learning for cybersecurity""
}
```"
